Title:,Employed Part-Time from the Current Population Survey: Labor Force Statistics Database
Jan-74,13663
Feb-74,13720
Mar-74,13636
Apr-74,13527
May-74,13685
Jun-74,13539
Jul-74,13765
Aug-74,13548
Sep-74,13802
Oct-74,13828
Nov-74,13835
Dec-74,13782
Jan-75,13900
Feb-75,13822
Mar-75,14053
Apr-75,14167
May-75,14139
Jun-75,14642
Jul-75,14928
Aug-75,14567
Sep-75,14315
Oct-75,14260
Nov-75,14237
Dec-75,14156
Jan-76,14535
Feb-76,14471
Mar-76,14421
Apr-76,14537
May-76,14518
Jun-76,14893
Jul-76,14898
Aug-76,14981
Sep-76,15134
Oct-76,15005
Nov-76,15042
Dec-76,15063
Jan-77,14927
Feb-77,15142
Mar-77,15288
Apr-77,15383
May-77,15323
Jun-77,15164
Jul-77,15272
Aug-77,15434
Sep-77,15460
Oct-77,15610
Nov-77,15835
Dec-77,15845
Jan-78,15700
Feb-78,15727
Mar-78,15711
Apr-78,16018
May-78,16181
Jun-78,15659
Jul-78,15597
Aug-78,15454
Sep-78,15973
Oct-78,16060
Nov-78,16018
Dec-78,16061
Jan-79,16086
Feb-79,16146
Mar-79,16109
Apr-79,15940
May-79,16051
Jun-79,16026
Jul-79,16142
Aug-79,16002
Sep-79,16315
Oct-79,16194
Nov-79,16279
Dec-79,16695
Jan-80,16692
Feb-80,16658
Mar-80,16604
Apr-80,16556
May-80,16670
Jun-80,16726
Jul-80,16892
Aug-80,16889
Sep-80,16649
Oct-80,16773
Nov-80,16883
Dec-80,16874
Jan-81,16917
Feb-81,17038
Mar-81,17198
Apr-81,17355
May-81,17170
Jun-81,17176
Jul-81,17001
Aug-81,17117
Sep-81,17043
Oct-81,17284
Nov-81,17279
Dec-81,17223
Jan-82,17569
Feb-82,17449
Mar-82,17610
Apr-82,17846
May-82,18034
Jun-82,18310
Jul-82,18274
Aug-82,18470
Sep-82,18524
Oct-82,18373
Nov-82,18447
Dec-82,18406
Jan-83,18508
Feb-83,18398
Mar-83,18323
Apr-83,18197
May-83,18227
Jun-83,18373
Jul-83,18780
Aug-83,18929
Sep-83,18757
Oct-83,18452
Nov-83,18613
Dec-83,18604
Jan-84,18416
Feb-84,18470
Mar-84,18471
Apr-84,18557
May-84,18538
Jun-84,18460
Jul-84,18506
Aug-84,18208
Sep-84,18406
Oct-84,18376
Nov-84,18420
Dec-84,18665
Jan-85,18526
Feb-85,18648
Mar-85,18604
Apr-85,18551
May-85,18300
Jun-85,18222
Jul-85,18629
Aug-85,18820
Sep-85,18777
Oct-85,18751
Nov-85,18768
Dec-85,18815
Jan-86,18934
Feb-86,19020
Mar-86,18903
Apr-86,19041
May-86,18959
Jun-86,19252
Jul-86,19139
Aug-86,19041
Sep-86,18964
Oct-86,19390
Nov-86,19133
Dec-86,19059
Jan-87,19178
Feb-87,19178
Mar-87,19339
Apr-87,19416
May-87,19569
Jun-87,19737
Jul-87,19368
Aug-87,19484
Sep-87,19574
Oct-87,19704
Nov-87,19707
Dec-87,19568
Jan-88,19760
Feb-88,19735
Mar-88,19468
Apr-88,19690
May-88,19396
Jun-88,19480
Jul-88,19839
Aug-88,19817
Sep-88,19708
Oct-88,19781
Nov-88,20240
Dec-88,20138
Jan-89,20269
Feb-89,20033
Mar-89,20287
Apr-89,20222
May-89,20085
Jun-89,19990
Jul-89,19833
Aug-89,19673
Sep-89,19879
Oct-89,19762
Nov-89,19818
Dec-89,19888
Jan-90,20144
Feb-90,20233
Mar-90,20273
Apr-90,20150
May-90,20402
Jun-90,19913
Jul-90,19950
Aug-90,19982
Sep-90,20062
Oct-90,20232
Nov-90,19993
Dec-90,20144
Jan-91,20138
Feb-91,20345
Mar-91,20331
Apr-91,20704
May-91,20403
Jun-91,20577
Jul-91,20574
Aug-91,20529
Sep-91,20634
Oct-91,20689
Nov-91,20779
Dec-91,20609
Jan-92,20912
Feb-92,20396
Mar-92,20647
Apr-92,20796
May-92,20511
Jun-92,20859
Jul-92,20996
Aug-92,21074
Sep-92,21087
Oct-92,20827
Nov-92,20976
Dec-92,20869
Jan-93,20768
Feb-93,20836
Mar-93,20913
Apr-93,20876
May-93,21210
Jun-93,21336
Jul-93,21484
Aug-93,21398
Sep-93,21148
Oct-93,21322
Nov-93,21229
Dec-93,21296
Jan-94,23738
Feb-94,23427
Mar-94,23451
Apr-94,23023
May-94,23171
Jun-94,23216
Jul-94,23054
Aug-94,22994
Sep-94,23097
Oct-94,23288
Nov-94,23631
Dec-94,23475
Jan-95,23393
Feb-95,23472
Mar-95,23388
Apr-95,23271
May-95,23173
Jun-95,22997
Jul-95,23174
Aug-95,23171
Sep-95,23469
Oct-95,23201
Nov-95,23075
Dec-95,22917
Jan-96,23104
Feb-96,23054
Mar-96,23222
Apr-96,23159
May-96,22980
Jun-96,23276
Jul-96,23281
Aug-96,23363
Sep-96,23242
Oct-96,23022
Nov-96,23202
Dec-96,23231
Jan-97,23397
Feb-97,23291
Mar-97,23358
Apr-97,23329
May-97,23382
Jun-97,23030
Jul-97,23018
Aug-97,23098
Sep-97,22949
Oct-97,23152
Nov-97,23269
Dec-97,23457
Jan-98,23251
Feb-98,23218
Mar-98,23352
Apr-98,23193
May-98,23311
Jun-98,23568
Jul-98,23197
Aug-98,22955
Sep-98,23314
Oct-98,23296
Nov-98,23314
Dec-98,23181
Jan-99,23062
Feb-99,23101
Mar-99,23188
Apr-99,23360
May-99,23377
Jun-99,23065
Jul-99,23485
Aug-99,23354
Sep-99,23277
Oct-99,23101
Nov-99,22981
Dec-99,22949
Jan-00,23233
Feb-00,23179
Mar-00,23266
Apr-00,22918
May-00,22793
Jun-00,22834
Jul-00,22641
Aug-00,22725
Sep-00,22839
Oct-00,23042
Nov-00,23346
Dec-00,23633
Jan-01,23423
Feb-01,23542
Mar-01,23273
Apr-01,23115
May-01,23089
Jun-01,22990
Jul-01,22923
Aug-01,23146
Sep-01,23654
Oct-01,23662
Nov-01,23559
Dec-01,23860
Jan-02,23120
Feb-02,23699
Mar-02,23667
Apr-02,23854
May-02,23969
Jun-02,24053
Jul-02,24052
Aug-02,23856
Sep-02,23906
Oct-02,23601
Nov-02,23755
Dec-02,23908
Jan-03,24525
Feb-03,24038
Mar-03,24263
Apr-03,24431
May-03,24497
Jun-03,24777
Jul-03,24249
Aug-03,24687
Sep-03,24430
Oct-03,24404
Nov-03,24551
Dec-03,24083
Jan-04,24501
Feb-04,24204
Mar-04,24378
Apr-04,24535
May-04,24778
Jun-04,24919
Jul-04,25382
Aug-04,24966
Sep-04,24654
Oct-04,24936
Nov-04,24922
Dec-04,24681
Jan-05,24314
Feb-05,24621
Mar-05,24784
Apr-05,24549
May-05,24584
Jun-05,24350
Jul-05,24767
Aug-05,24851
Sep-05,25096
Oct-05,25074
Nov-05,24915
Dec-05,24674
Jan-06,24884
Feb-06,24731
Mar-06,24542
Apr-06,24325
May-06,24989
Jun-06,24774
Jul-06,24477
Aug-06,24629
Sep-06,24549
Oct-06,24784
Nov-06,24958
Dec-06,25226
Jan-07,24986
Feb-07,25016
Mar-07,25144
Apr-07,25143
May-07,24932
Jun-07,25435
Jul-07,24897
Aug-07,24753
Sep-07,24996
Oct-07,24680
Nov-07,24758
Dec-07,24745
Jan-08,25067
Feb-08,24692
Mar-08,24715
Apr-08,25352
May-08,25063
Jun-08,25416
Jul-08,25288
Aug-08,25595
Sep-08,25327
Oct-08,25508
Nov-08,25666
Dec-08,26333
Jan-09,26377
Feb-09,26722
Mar-09,27069
Apr-09,27279
May-09,27239
Jun-09,27459
Jul-09,27737
Aug-09,27509
Sep-09,27273
Oct-09,27462
Nov-09,27327
Dec-09,27479
Jan-10,27781
Feb-10,27627
Mar-10,27558
Apr-10,27386
May-10,26692
Jun-10,26658
Jul-10,26991
Aug-10,27703
Sep-10,27459
Oct-10,27353
Nov-10,27561
Dec-10,27419
Jan-11,26987
Feb-11,26872
Mar-11,27282
Apr-11,27333
May-11,27381
Jun-11,27469
Jul-11,27432
Aug-11,27296
Sep-11,27644
Oct-11,27474
Nov-11,27434
Dec-11,27168
Jan-12,27834
Feb-12,27582
Mar-12,27023
Apr-12,27508
May-12,28054
Jun-12,27674
Jul-12,27746
Aug-12,27600
Sep-12,27810
Oct-12,27975
Nov-12,27545
Dec-12,27580
Jan-13,27546
Feb-13,27584
Mar-13,27439
Apr-13,27584
May-13,27715
Jun-13,27863
Jul-13,28145
Aug-13,27896
Sep-13,27552
Oct-13,27323
Nov-13,27379
Dec-13,27418
Jan-14,27574
Feb-14,27379
Mar-14,27620
Apr-14,27170
May-14,27105
Jun-14,28023
Jul-14,28028
Aug-14,27814
Sep-14,27461
Oct-14,27772
Nov-14,27696
Dec-14,27473
Jan-15,27559
Feb-15,27389
Mar-15,27126
Apr-15,27645
May-15,27355
Jun-15,27778
Jul-15,27211
Aug-15,27062
Sep-15,27035
Oct-15,27251
Nov-15,27295
Dec-15,27371
Jan-16,27517
Feb-16,27827
Mar-16,27660
Apr-16,27783
May-16,28008
Jun-16,27559
Jul-16,27569
Aug-16,27208
Sep-16,27538
Oct-16,27645
Nov-16,27892
Dec-16,27921
Jan-17,27428
Feb-17,27554
Mar-17,27501
Apr-17,27202
May-17,27479
Jun-17,27168
Jul-17,27600
Aug-17,27518
Sep-17,27513
Oct-17,26990
Nov-17,27181
Dec-17,27316
Jan-18,27346
Feb-18,27570
Mar-18,27875
Apr-18,27473
May-18,26984
Jun-18,26935
Jul-18,27005
Aug-18,26831
Sep-18,26976
Oct-18,27126
Nov-18,27019
Dec-18,27058
Jan-19,26753
Feb-19,26918
Mar-19,27066
Apr-19,26976
May-19,27082
Jun-19,26686
Jul-19,26873
Aug-19,26915
Sep-19,27019
Oct-19,26868
Nov-19,27022
Dec-19,27096
Jan-20,27576
Feb-20,27848
Mar-20,26651
Apr-20,19292
May-20,20841
Jun-20,22950
Jul-20,23826
Aug-20,24743
Sep-20,25021
Oct-20,26051
Nov-20,25374
Dec-20,24976
Jan-21,24669
Feb-21,25168
Mar-21,25158
Apr-21,25046
May-21,25189
Jun-21,25488
Jul-21,25310
Aug-21,25739
Sep-21,25772
Oct-21,25903
Nov-21,25956
Dec-21,25681
Jan-22,25817
Feb-22,25801
Mar-22,25902
Apr-22,26091
May-22,25766
Jun-22,25440
Jul-22,25824
Aug-22,26237
,
,
,
Publisher:," ""Bureau of Labor Statistics"""
Copyright:," ""The data contained in Data Planet(tm): A SAGE Publishing Resource is made available via license agreement with subscribing organizations. Your organization's license may vary from this version."""
